,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Sao Mateus do Sul,0,BR,1580044480,46,-25.87,-50.38,75.33,0.94
1,Jamestown,99,US,1580044480,95,42.1,-79.24,33.01,10.0
2,Albany,53,US,1580044481,90,42.6,-73.97,35.01,4.38
3,San Policarpo,7,PH,1580044481,88,12.18,125.51,79.57,8.55
4,Punta Arenas,92,CL,1580044481,58,-53.15,-70.92,53.01,23.0
5,Banyumas,85,ID,1580044453,83,-7.51,109.29,79.97,2.24
6,Padang,100,ID,1580044481,97,-0.95,100.35,71.1,0.58
7,Cidreira,7,BR,1580044481,63,-30.18,-50.21,75.87,8.03
8,Ratnagiri,1,IN,1580044481,51,16.98,73.3,82.62,7.58
9,Bluff,88,NZ,1580044482,86,-46.6,168.33,57.0,1.01
10,Sur,47,OM,1580044482,65,22.57,59.53,70.65,15.21
11,Rikitea,50,PF,1580044482,76,-23.12,-134.97,78.98,11.77
12,Padilla,75,CO,1580044482,94,3.22,-76.31,69.8,2.24
13,Saint-Philippe,90,RE,1580044209,69,-21.36,55.77,80.6,18.34
14,Pevek,100,RU,1580044243,97,69.7,170.31,-8.25,1.25
15,Cape Town,40,ZA,1580044324,40,-33.93,18.42,73.99,18.34
16,Weihai,94,CN,1580044483,69,37.5,122.11,38.23,14.58
17,Dikson,94,RU,1580044483,97,73.51,80.55,-6.16,2.86
18,Trincomalee,98,LK,1580044483,67,8.57,81.23,78.26,4.43
19,Turukhansk,100,RU,1580044483,96,65.82,87.98,-0.99,7.27
20,Sao Luiz Gonzaga,0,BR,1580044483,55,-28.41,-54.96,76.12,5.66
21,Kapaa,32,US,1580044484,59,22.08,-159.32,72.0,6.55
22,Jalu,50,LY,1580044484,25,29.03,21.55,64.71,9.75
23,Kundiawa,67,PG,1580044484,98,-6.02,144.97,55.54,0.38
24,Khalkhal,6,IR,1580044484,78,37.62,48.53,21.85,4.16
25,Bambous Virieux,75,MU,1580044484,83,-20.34,57.76,78.8,13.87
26,Mount Isa,93,AU,1580044428,75,-20.73,139.5,79.83,11.79
27,Tiarei,85,PF,1580044485,74,-17.53,-149.33,78.01,3.0
28,Dalby,9,AU,1580044485,76,-27.18,151.27,75.0,1.99
29,Saskylakh,98,RU,1580044485,94,71.92,114.08,-19.16,12.12
30,Sibi,0,PK,1580044485,32,29.54,67.88,72.54,7.83
31,Palas,68,ID,1580044485,90,-5.65,105.68,78.17,3.8
32,Manzanillo,0,CU,1580044485,91,20.34,-77.12,66.07,3.8
33,Talnakh,99,RU,1580044486,95,69.49,88.4,2.61,6.35
34,Avarua,100,CK,1580044190,85,-21.21,-159.78,80.1,9.35
35,Tongliao,0,CN,1580044486,76,43.61,122.27,12.65,8.23
36,Khatanga,99,RU,1580044486,100,71.97,102.5,-21.87,2.57
37,Yellowknife,100,CA,1580044465,92,62.46,-114.35,12.0,3.0
38,Lebu,71,CL,1580044346,81,-37.62,-73.65,63.93,6.82
39,Iqaluit,74,CA,1580044487,59,63.75,-68.51,-31.0,11.99
40,Vallenar,38,CL,1580044487,68,-28.57,-70.76,68.9,2.51
41,Walvis Bay,7,NA,1580044487,45,-22.96,14.51,82.4,13.87
42,Ayan,0,RU,1580044487,66,56.45,138.17,-17.12,13.6
43,Batemans Bay,31,AU,1580044487,88,-35.72,150.18,68.0,1.01
44,Necochea,51,AR,1580044250,33,-38.55,-58.74,75.99,7.0
45,Mataura,100,NZ,1580044487,86,-46.19,168.86,57.0,1.01
46,Torbay,7,CA,1580044438,78,47.67,-52.73,26.01,7.47
47,Souillac,75,MU,1580044488,83,-20.52,57.52,78.8,13.87
48,Nagorsk,96,RU,1580044488,93,59.32,50.81,8.94,7.09
49,Bilibino,100,RU,1580044488,88,68.05,166.44,-0.87,2.57
50,Ushuaia,100,AR,1580044488,96,-54.8,-68.3,40.53,2.98
51,Fortuna,100,US,1580044450,98,40.6,-124.16,53.01,3.36
52,Muromtsevo,100,RU,1580044489,92,56.37,75.24,15.46,10.85
53,Zapolyarnyy,78,RU,1580044489,79,69.42,30.81,16.2,16.46
54,Tuktoyaktuk,100,CA,1580044489,94,69.45,-133.04,-16.38,12.73
55,Laguna,90,US,1580044489,93,38.42,-121.42,55.99,4.7
56,Marsh Harbour,14,BS,1580044489,58,26.54,-77.06,70.07,10.71
57,Lokosovo,99,RU,1580044489,98,61.13,74.82,-4.34,5.75
58,Busselton,41,AU,1580044489,35,-33.65,115.33,75.99,17.11
59,Qaanaaq,3,GL,1580044490,52,77.48,-69.36,-11.4,5.48
60,Namatanai,71,PG,1580044490,77,-3.67,152.43,82.9,2.35
61,Mahebourg,75,MU,1580044490,83,-20.41,57.7,78.8,13.87
62,Ballina,2,AU,1580044490,95,-28.87,153.57,73.99,11.5
63,Meulaboh,96,ID,1580044490,73,4.14,96.13,84.96,5.77
64,Posse,100,BR,1580044490,98,-14.09,-46.37,69.15,5.12
65,Severo-Kuril'sk,100,RU,1580044490,92,50.68,156.12,18.1,31.56
66,Kantunilkin,18,MX,1580044491,100,21.09,-87.45,64.0,4.0
67,Mahibadhoo,100,MV,1580044491,69,3.78,72.97,82.04,5.91
68,Atuona,2,PF,1580044447,78,-9.8,-139.03,80.17,13.8
69,Kodiak,100,US,1580044491,86,57.79,-152.41,17.64,23.44
70,Egvekinot,60,RU,1580044491,71,66.32,-179.17,-6.16,3.22
71,Puerto Ayora,93,EC,1580044491,22,-0.74,-90.35,75.0,1.01
72,Chui,20,UY,1580044491,63,-33.7,-53.46,74.12,6.55
73,Vila Velha,100,BR,1580044492,77,-20.33,-40.29,78.01,0.94
74,Evanston,90,US,1580044492,93,42.04,-87.69,33.01,6.93
75,Mount Gambier,100,AU,1580044492,81,-37.83,140.77,56.08,0.2
76,Faanui,18,PF,1580044492,75,-16.48,-151.75,82.17,8.93
77,Hermanus,28,ZA,1580044492,64,-34.42,19.23,73.99,7.0
78,Muros,90,ES,1580044492,71,42.78,-9.06,57.99,15.01
79,Bredasdorp,24,ZA,1580044493,49,-34.53,20.04,69.01,20.8
80,La Palma,90,US,1580044493,87,33.85,-118.05,57.2,2.86
81,Upernavik,96,GL,1580044493,97,72.79,-56.15,-16.91,4.88
82,Sao Joao da Barra,96,BR,1580044493,82,-21.64,-41.05,74.79,2.8
83,Guerrero Negro,0,MX,1580044493,89,27.98,-114.06,58.37,5.68
84,Dingle,72,PH,1580044493,89,11.0,122.67,75.99,3.49
85,Ha Giang,34,VN,1580044494,82,22.83,104.98,50.81,1.34
86,Khorramshahr,0,IR,1580044494,27,30.44,48.17,63.3,23.49
87,Emerald,92,AU,1580044494,91,-23.53,148.17,73.0,1.99
88,Dickson,90,US,1580044494,91,36.08,-87.39,35.01,4.45
89,Arraial do Cabo,0,BR,1580044495,81,-22.97,-42.03,73.29,2.33
90,Srednekolymsk,100,RU,1580044495,95,67.45,153.68,-22.95,6.42
91,Abu Dhabi,0,AE,1580044282,68,24.47,54.37,61.59,26.46
92,Vaini,12,TO,1580044495,85,-21.2,-175.2,79.39,12.35
93,Kahului,0,US,1580044495,73,20.89,-156.47,71.01,5.01
94,Santa Maria del Rio,96,MX,1580044495,91,21.8,-100.75,51.22,3.11
95,Novoagansk,97,RU,1580044496,96,61.94,76.66,0.25,8.68
96,Hilo,16,US,1580044496,92,19.73,-155.09,64.0,3.0
97,Arrondissement de Cognac,18,FR,1580044496,76,45.5,-0.25,55.99,1.99
98,Inhambane,26,MZ,1580044496,63,-23.86,35.38,83.93,12.1
99,New Norfolk,73,AU,1580044497,58,-42.78,147.06,60.01,1.01
100,Zhezkazgan,96,KZ,1580044497,89,47.8,67.71,20.32,28.5
101,Ponnampet,99,IN,1580044388,41,12.15,75.93,79.45,1.97
102,Flinders,17,AU,1580044497,22,-34.58,150.86,78.01,3.0
103,Naze,100,JP,1580044497,92,28.37,129.48,69.17,21.68
104,Deesa,0,IN,1580044497,27,24.25,72.17,81.57,7.7
105,Kismayo,2,SO,1580044497,75,-0.36,42.55,83.25,13.29
106,Longyearbyen,0,SJ,1580044498,58,78.22,15.64,-9.92,1.7
107,Viedma,29,AR,1580044498,39,-40.81,-63.0,71.94,25.19
108,Tiksi,0,RU,1580044498,69,71.69,128.87,-30.33,3.89
109,Hobyo,96,SO,1580044498,57,5.35,48.53,85.66,21.65
110,Batagay-Alyta,0,RU,1580044498,47,67.8,130.41,-32.46,4.92
111,Wanning,91,CN,1580044498,90,18.8,110.4,59.07,8.86
112,Port Elizabeth,90,ZA,1580044215,49,-33.92,25.57,73.4,35.57
113,Barrow,40,US,1580044499,75,71.29,-156.79,-20.2,10.29
114,Komatipoort,0,ZA,1580044499,43,-25.43,31.95,99.0,1.99
115,Thompson,76,CA,1580044418,97,55.74,-97.86,-4.97,4.81
116,Cherskiy,100,RU,1580044499,94,68.75,161.3,-17.34,3.31
117,Charters Towers,99,AU,1580044499,83,-20.1,146.27,76.98,10.94
118,Port Alfred,99,ZA,1580044500,78,-33.59,26.89,66.99,11.01
119,Tasiilaq,75,GL,1580044500,70,65.61,-37.64,32.0,18.34
120,Sabang,0,ID,1580044500,68,5.89,95.32,82.47,11.16
121,Castro,0,BR,1580044500,59,-24.79,-50.01,75.97,1.21
122,Hirara,100,JP,1580044472,87,24.8,125.28,74.55,27.36
123,Coracao de Jesus,100,BR,1580044500,98,-16.69,-44.37,68.0,7.09
124,Shelburne,93,CA,1580044501,47,44.08,-80.2,35.01,1.99
125,Santa Maria,20,BR,1580044501,58,-29.68,-53.81,84.2,1.12
126,Baytown,90,US,1580044501,93,29.74,-94.98,64.0,3.36
127,Sao Borja,0,BR,1580044501,52,-28.66,-56.0,79.07,5.08
128,Cockburn Town,1,TC,1580044501,69,21.46,-71.14,75.74,4.25
129,Prince Rupert,100,CA,1580044501,74,54.32,-130.32,41.63,12.37
130,Mackay,100,AU,1580044501,87,-21.15,149.2,78.01,2.95
131,Tessalit,77,ML,1580044502,5,20.2,1.01,87.87,6.13
132,Sitka,100,US,1580044502,89,57.05,-135.33,39.83,11.74
133,Orissaare,100,EE,1580044502,81,58.56,23.08,42.01,8.99
134,Daru,13,PG,1580044502,88,-9.08,143.21,78.08,1.54
135,Hammerfest,100,NO,1580044502,92,70.66,23.68,12.79,2.8
136,Lagoa,100,PT,1580044502,67,39.05,-27.98,57.29,1.23
137,Mitsamiouli,100,KM,1580044503,70,-11.38,43.28,80.15,6.89
138,Kavieng,46,PG,1580044469,76,-2.57,150.8,84.47,10.2
139,Bethel,20,US,1580044503,92,41.37,-73.41,37.99,5.26
140,Tema,39,GH,1580044503,61,5.67,-0.02,80.51,4.21
141,Ponta do Sol,0,PT,1580044503,57,32.67,-17.1,64.0,5.01
142,Provideniya,0,RU,1580044503,82,64.38,-173.3,-6.7,1.88
143,Buraidah,0,SA,1580044504,34,26.33,43.98,55.78,7.72
144,Klobuck,100,PL,1580044504,90,50.9,18.94,34.0,1.01
145,Ust-Kuyga,0,RU,1580044504,89,70.02,135.6,-41.91,7.9
146,Butaritari,66,KI,1580044504,74,3.07,172.79,85.24,12.82
147,Vao,71,NC,1580044504,83,-22.67,167.48,77.81,17.38
148,Aklavik,100,CA,1580044505,96,68.22,-135.01,-19.17,3.44
149,Vila Franca do Campo,99,PT,1580044505,76,37.72,-25.43,61.29,6.13
150,Ribas do Rio Pardo,0,BR,1580044505,72,-20.44,-53.76,78.48,4.74
151,Mehamn,100,NO,1580044505,76,71.04,27.85,18.07,16.71
152,Qeshm,0,IR,1580044505,55,26.96,56.27,65.57,22.79
153,Phan Thiet,22,VN,1580044505,90,10.93,108.1,70.59,3.89
154,Morondava,100,MG,1580044505,66,-20.28,44.28,86.67,7.58
155,Geraldton,78,AU,1580044506,78,-28.77,114.6,75.07,22.57
156,Hobart,83,AU,1580044502,58,-42.88,147.33,60.01,4.0
157,Atar,100,MR,1580044506,17,20.52,-13.05,81.59,11.12
158,Yulara,0,AU,1580044506,13,-25.24,130.99,86.72,10.76
159,Mar del Plata,64,AR,1580044371,38,-38.0,-57.56,80.01,1.99
160,Bereda,52,ES,1580044501,72,43.27,-7.54,57.99,13.0
161,Codrington,100,AU,1580044507,74,-38.27,141.97,60.67,6.8
162,Dessie,46,ET,1580044507,60,11.13,39.63,59.85,3.18
163,Kumul,41,CN,1580044507,69,42.8,93.45,13.98,1.92
164,Kavaratti,83,IN,1580044507,64,10.57,72.64,81.61,7.16
165,East London,40,ZA,1580044314,68,-33.02,27.91,69.8,31.09
166,Turbat,54,PK,1580044507,48,26.0,63.04,70.5,12.3
167,Altay,100,CN,1580044508,97,47.87,88.12,15.33,1.92
168,Luena,75,AO,1580044508,88,-11.78,19.92,71.6,8.05
169,Klaksvik,83,FO,1580044508,65,62.23,-6.59,43.2,34.81
170,George Town,60,MY,1580044508,70,5.41,100.34,84.0,1.99
171,Southbridge,40,US,1580044508,89,42.08,-72.03,39.99,5.82
172,Cabo San Lucas,0,MX,1580044290,90,22.89,-109.91,61.0,1.01
173,Boundiali,59,CI,1580044508,5,9.52,-6.49,94.78,8.25
174,Berlevag,100,NO,1580044509,69,70.86,29.09,22.68,22.21
175,Nome,0,US,1580044342,69,64.5,-165.41,-8.28,7.67
176,Arlit,78,NE,1580044509,4,18.74,7.39,86.99,11.45
177,Hong Kong,64,HK,1580044310,84,22.29,114.16,57.99,1.99
178,Eureka,100,US,1580044417,96,40.8,-124.16,53.01,1.01
179,Amapa,92,BR,1580044509,91,1.0,-52.0,76.75,3.8
180,Airai,88,TL,1580044510,94,-8.93,125.41,70.47,0.4
181,Priargunsk,34,RU,1580044510,99,50.37,119.1,-8.99,1.3
182,Coyhaique,82,CL,1580044368,94,-45.58,-72.07,42.12,5.5
183,Vathy,100,GR,1580044510,64,38.4,23.6,60.01,1.99
184,Bathsheba,98,BB,1580044510,76,13.22,-59.52,77.86,13.02
185,Orange Cove,90,US,1580044510,87,36.62,-119.31,52.0,3.02
186,Stryn,100,NO,1580044511,64,61.9,6.72,46.0,7.0
187,Omboue,52,GA,1580044511,75,-1.57,9.26,84.38,4.65
188,Tairua,0,NZ,1580044511,88,-37.02,175.85,71.01,1.01
189,Erzurum,68,TR,1580044212,84,40.0,41.5,15.57,6.4
190,Akhtanizovskaya,100,RU,1580044511,57,45.32,37.1,48.0,4.0
191,Isla Mujeres,9,MX,1580044511,100,21.23,-86.73,64.0,4.0
192,Salekhard,82,RU,1580044511,99,66.53,66.6,-8.57,2.51
193,Galveston,90,US,1580044512,93,29.37,-94.97,64.0,3.36
194,San Patricio,75,MX,1580044512,77,19.22,-104.7,74.48,5.86
195,Santa Cruz de la Palma,20,ES,1580044512,60,28.68,-17.76,69.8,6.93
196,Diffa,39,NE,1580044512,14,13.32,12.61,81.07,18.59
197,Quatre Cocos,75,MU,1580044512,83,-20.21,57.76,78.8,13.87
